---config@码表分类=辅码码表
---config@码表别名= 二重简码
䒢	agc
䩕	agg
㭿	agme
䭺	agmj
䀚	ago
㼜	agy
岇	ahee
骯	ahg
枊	ahm
枊	ahme
昻	ahoe
醠	ahym
鱫	aiaw
㤅	aiax
㾢	aibr
皧	aiby
鴱	aich
薆	aicw
溾	aidg
濭	aidm
嵦	aiea
敳	aiew
㢊	aigk
䅬	aihm
馤	aihv
鑀	aijw
鎄	aijy
啀	aikt
娾	aint
娭	ainu
䑂	aiob
賹	aiom
䝽	aiot
䀳	aiou
瞹	aiow
昹	aioy
伌	airv
僾	airw
㝶	aisc
塧	aitm
堨	aitv
㘷	aitx
磑	aiua
硋	aiur
䶣	aiva
懝	aixr
懓	aixw
靉	aiyw
痷	anbd
䢿	anbe
鞌	anbg
萻	anc
葊	ancc
蓭	ancd
荌	ancn
屽	aneg
峖	anen
隌	aneo
揞	anfo
厈	ani
㱘	aniv
錌	anjg
䬓	anjo
啽	ankc
咹	ankn
鶕	anln
䮗	anmg
媕	annc
㛺	anno
㜝	anny
晻	anod
腤	anoo
裺	anp
儑	anrh
侒	anrn
韽	anro
罯	ans
堓	antg
豻	anvg
玵	anwg
㞄	anyd
雸	anyg
䦋	aoaw
镺	aoay
翶	aobx
芺	aoc
蔜	aocw
澚	aodv
滶	aodw
䫜	aoeb
㠗	aoed
岰	aoel
隞	aoew
䫨	aofb
擙	aofd
㩠	aofh
謷	aofk
嫯	aofn
摮	aofu
抝	aofv
㥿	aofx
扷	aofy
䯠	aogm
熝	aoh
爊	aohh
軪	aoil
厫	aoiw
㕭	aoky
柪	aom
梎	aomb
䮯	aomw
㜩	aond
㜜	aonw
䐿	aoo
嶴	aope
䴈	aopn
獓	aoq
㑃	aorl
垇	aota
墺	aotd
㘬	aots
㘭	aotv
磝	aouw
㿰	aowy
慠	aoxw
㤇	aoxy
䜒	aoyd
謸	aoyw
䭹	agme
䇦	agvy
㿄	aiby
䔽	aicv
凒	aida
溰	aida
㱯	aida
敱	aiey
㶼	aihu
㕌	aiic
銰	aijx
嘊	aikt
㗒	aiky
騃	aimu
壒	aitm
躷	aiun
䠹	aiur
餲	aiuv
譺	aiyr
譪	aiyv
䨠	aiyv
鮟	anan
䅁	anbh
䀂	anbm
洝	andn
㟁	aneg
䯥	angh
馣	anhd
䅖	anhd
闇	anmo
㸩	anng
㫨	anon
盫	anrm
㽢	antd
貋	anvg
䜙	anyh
誝	anyk
㠂	aoew
㟼	aoew
嗸	aofk
鷔	aofn
䵅	aofw
䥝	aojb
𢣏	aixm
𩽾	ana_
宝	bc
鮁	baad
魞	baar
茇	bacy
夿	badb
峇	baek
抜	bafy
弝	bagb
䩻	bagm
䆉	bahb
炦	bahd
炦	bahy
軷	baid
颰	bajd
鼥	bajy
哱	bakz
䎬	bals
欛	bamo
柭	bamy
㔜	bapl
叐	bapy
仈	bar
釟	barb
垻	batb
䳊	baun
䃻	bauo
犮	bauy
癹	bavy
玐	bawb
㺴	bawq
覇	baxo
詙	bayd
跁	bazb
䟦	bazy
鬂	bbab
䨈	bbbf
䧬	bbeb
虨	bbhp
䐔	bboc
氞	bbqb
砏	bbud
瑸	bbwb
㻞	bbwc
霦	bbyp
虣	bcaj
勽	bcbr
窇	bcbs
嫑	bcby
苞	bcc
菢	bccs
宀	bcdv
报	bcf
铇	bcjs
闁	bcmm
䭸	bcmx
䳈	bcns
曓	bcob
㫧	bcom
㿺	bcoy
勹	bcpv
賲	bcrb
䳰	bcrn
儤	bcru
緥	bcsm
㙸	bctf
堢	bctm
䭋	bcum
龅	bcvb
鳵	bcvn
䈏	bcvt
㻄	bcwr
䨔	bcyw
㿟	bdbb
䒔	bdcb
㠔	bdeu
拝	bdfl
挀	bdfn
㗑	bdkf
栢	bdmb
贁	bdow
襬	bdpb
絔	bdsb
㔥	bdsl
掰	bdu
兡	bdub
瓸	bdwb
䢙	bdzb
㮺	bfbk
翉	bfbx
泍	bfdb
捹	bffc
撪	bffl
㨧	bfft
㡷	bfgb
輽	bfit
㮥	bfmt
桳	bfmu
奙	bfsd
䬱	bfub
逩	bfzc
痭	bgbo
菶	bgcl
奟	bgdo
嵭	bgef
䳞	bgfn
䩬	bggl
䭰	bghl
嗙	bgkf
閍	bgmf
䙀	bgpo
㑟	bgrb
伻	bgrp
䋽	bgsc
絣	bgsk
綳	bgso
埄	bgtf
埲	bgtl
塴	bgto
䑫	bgvk
琣	bgwk
䨜	bgyo
逬	bgzg
跰	bgzk
䰷	bhaf
䧛	bhe
捠	bhfb
幚	bhfj
䩷	bhgf
稖	bhhk
䎧	bhlk
牓	bhpf
縍	bhsf
㙃	bhtb
垹	bhte
幇	bhtj
埲	bhtl
㨍	bhtu
彭	bhup
艕	bhvf
㿶	bhwy
駜	biab
鶝	biah
鰏	biat
豍	biau
髲	biay
粊	bibm
荜	bic
䕗	bicl
薜	bicx
滗	bid
䨆	bidf
湢	bidt
䎵	bieb
聛	bieu
䧗	biew
㧙	bifb
鄪	bife
鵖	bign
㢰	bigy
煏	biht
螕	biib
蜌	biit
鏎	bije
鐴	biju
㪤	bijw
鄙	bik
啚	bikk
朼	bimb
驆	bime
楅	bimt
閇	bimx
柀	bimy
嬶	binc
嬶	binl
睥	bio
䀣	biob
胇	biof
睤	biol
腷	biot
䁹	biou
貱	bioy
襅	bipe
襣	bipl
㪏	bipy
偪	birt
佊	biry
䋔	bisp
㘩	bitb
襞	biu
饆	biue
舭	biv
㻫	biwe
幤	bixj
畁	biyl
跸	biz
䟤	bizb
魬	bjay
秚	bjhb
蝂	bjiy
昄	bjo
朌	bjod
坢	bjtb
舨	bjv
斒	bjwc
鮩	bkak
苪	bkcb
䔊	bkck
疒	bkda
陃	bkeb
㨀	bkfn
掤	bkfo
棅	bkmn
栤	bkmu
昞	bkob
鋲	bkrb
仒	bkrd
倂	bkrg
偋	bkrk
傡	bkrl
垪	bktb
垪	bktk
餠	bkug
鯿	bmac
鯾	bmag
窆	bmbf
峅	bmec
揙	bmfc
炞	bmhb
㲢	bmhm
鍽	bmjc
䁵	bmoy
釆	bmpm
猵	bmqc
䪻	bmsb
鴘	bmsn
䟍	bmtf
碥	bmu
㺹	bmwc
惼	bmxc
覍	bmxe
辩	bmy
邉	bmzk
髟	bnap
䔸	bncq
滮	bndp
㟽	bne
㠒	bned
飚	bnf
䞄	bnfb
麃	bngh
飊	bnhi
贆	bnkq
㯹	bnmc
檦	bnmd
臕	bnoh
䁭	bnoq
爂	bnph
褾	bnpx
猋	bnqq
墂	bntx
謤	bnwx
諘	bnwy
䙳	bnxh
鮊	boab
䰊	boac
駮	boax
驋	boay
苩	bocb
葧	bocl
蘗	bocm
淿	bodj
殕	bodk
碆	bodu
㴾	bodw
㟑	boez
挬	bofz
髆	bogc
